Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
6.1000000000000000e+01,1.9186745333228406e+04,6.0634523889915312e+04,9.8035511796940860e+04,7.3051929992237274e+04,4.6472000000000002e-01,1.0386000000000000e+00,1.6306999999999999e-01,1.6306999999999999e-01,8.9848484848484844e-01
6.2000000000000000e+01,2.6945458083198013e+04,7.3172867124526136e+04,8.7101314083125268e+04,9.2826902196843803e+04,4.9875000000000003e-01,1.0283000000000000e+00,1.4354000000000000e-01,1.4362000000000000e-01,4.9242424242424238e-01
6.3000000000000000e+01,2.0583008933897996e+04,6.5897148595222156e+04,1.0370809887504196e+05,9.1685005874602852e+04,4.4718000000000002e-01,1.0612999999999999e+00,1.7126000000000000e-01,1.7126000000000000e-01,9.0757575757575748e-01
6.4000000000000000e+01,2.3194449643396812e+04,5.9806729563788438e+04,8.7111421037205844e+04,9.4466163174252826e+04,4.8599999999999999e-01,1.0246000000000000e+00,1.5251000000000001e-01,1.5251999999999999e-01,9.1060606060606053e-01
6.5000000000000000e+01,2.4648046975964877e+04,6.4199807779918294e+04,8.2860282699056683e+04,1.0756735211381878e+05,4.8873000000000000e-01,1.0283000000000000e+00,1.5098000000000000e-01,1.5101999999999999e-01,7.2272727272727266e-01
6.6000000000000000e+01,1.8747197569403881e+04,7.7322502619826337e+04,1.0196503896737336e+05,1.0066261944906763e+05,3.9424999999999999e-01,1.1107000000000000e+00,1.9833999999999999e-01,1.9839999999999999e-01,9.0909090909090906e-01
6.7000000000000000e+01,1.9308152963631284e+04,6.0618147727735188e+04,8.1737489398697886e+04,9.6470206249584167e+04,4.6681000000000000e-01,1.0375000000000001e+00,1.6231000000000001e-01,1.6234999999999999e-01,8.9848484848484833e-01
6.8000000000000000e+01,1.9656288863669401e+04,7.2928896961990642e+04,7.3736665156253453e+04,9.5535264552068140e+04,4.2263000000000001e-01,1.0826000000000000e+00,1.8404000000000001e-01,1.8518000000000001e-01,9.1060606060606064e-01
6.9000000000000000e+01,2.2946400217081286e+04,7.4478586182598170e+04,9.5026297744024298e+04,1.0453394018002739e+05,4.5190999999999998e-01,1.0512999999999999e+00,1.6736999999999999e-01,1.6741000000000000e-01,7.5757575757575746e-01
7.0000000000000000e+01,2.6596487039843261e+04,6.2555569813364898e+04,9.4456104131717802e+04,7.9121153760693443e+04,5.0683999999999996e-01,1.0173000000000001e+00,1.4105999999999999e-01,1.4105999999999999e-01,5.7272727272727275e-01
