Run,ISC,IS,n,RS,RP,Pmax,dISC,dIS,dn,dRS,dRP
6.5000000000000000e+01,7.5187803369077641e-02,2.9933229591716048e-11,1.7786333843171365e+00,4.5946199712479957e-01,3.1920578782089564e+02,5.6509758963297040e-02,7.1068334897561591e-02,-1.3955184945124710e-02,1.5903398105365785e-02,-1.1335600236250798e-03,8.9239757250503260e-04
6.6000000000000000e+01,1.5189308740115615e-01,4.3337401836109004e-10,1.3127643308040398e+00,6.0060651189566339e-01,1.2308685558100750e+02,6.7494066448785431e-02,3.7055525065055051e-02,-2.0758512561669384e-02,2.9268852938524326e-02,-4.5528781439374555e-03,1.8430791476342634e-03
6.7000000000000000e+01,1.0466628489078761e-01,8.3681021559030085e-09,1.0759591237960642e+00,2.5105478494902411e-01,2.3361867965160542e+02,3.3948912494265772e-02,2.9873787284195874e-02,-1.1955835370336398e-02,1.6585387709044941e-02,-2.2294429427582863e-03,3.0276135071227728e-04
6.8000000000000000e+01,1.2732539833122905e-01,4.7810915108263104e-09,1.6110016204151640e+00,4.0768116359687073e-01,1.0399578054357410e+02,6.2408306599838190e-02,4.5560888478624051e-02,-2.0651736022669898e-02,2.0090156954699623e-02,-3.0414295318359486e-03,3.5832646363975762e-03
6.9000000000000000e+01,1.6585014351981636e-01,1.0743124876171392e-08,1.2584606663754117e+00,4.3094315064331268e-01,2.3354888045993226e+02,5.8665728268430986e-02,2.9498363980640097e-02,-2.2063633940694327e-02,2.6884876200283792e-02,-5.5216461472551437e-03,3.2546314254755515e-04
7.0000000000000000e+01,2.3870946129087697e-01,3.2597024744228735e-08,1.7118959033234313e+00,5.8288922464719883e-01,3.3402934535668658e+02,1.0028364664979433e-01,3.1681593293253485e-02,-4.2542110195720184e-02,3.6692123381310005e-02,-1.1049129458595708e-02,2.0363422059688219e-04
7.1000000000000000e+01,6.6784824304760806e-02,7.2979325492274748e-10,1.9386142906630139e+00,6.1989526996960231e-01,1.1767479023554580e+02,4.1749544766381451e-02,6.3002502777298464e-02,-1.1706400508681991e-02,1.0112105527926296e-02,-7.1047571298388235e-04,5.1490184546643114e-03
7.2000000000000000e+01,1.0763241485310383e-01,4.5666312376754997e-11,1.7246940247091325e+00,1.6698459733792442e-01,1.9430540235478117e+02,7.9186219976950578e-02,7.1026040979194072e-02,-1.9211440979716166e-02,2.2453934905852790e-02,-2.2961354623207697e-03,2.3676181987175582e-03
7.3000000000000000e+01,1.1419186859054363e-01,1.2000244154949763e-09,1.5421095504509656e+00,2.7313698867265590e-01,2.1316499206816206e+02,6.1489695846924507e-02,5.0489760400340700e-02,-1.8543592383846175e-02,2.0371809079933190e-02,-2.6359595478586684e-03,1.0196997690670173e-03
7.4000000000000000e+01,9.6933849286743229e-02,3.0501279643123552e-08,1.8989566369514606e+00,2.9592251825309690e-01,9.5798395996328708e+01,4.8470753782385481e-02,4.9739264283699125e-02,-1.7586271008895871e-02,1.2399963077169840e-02,-1.6217191270428977e-03,4.8459006043999331e-03
