run, p_{inf}, M_{inf}, gamma, r1, r2, r3, r4, p_{st}, q_{st}
1.380000e+02, 2.202640e+01, 1.596558e+01, 1.025165e-03, -1.086304e-01, -1.022942e-02, -2.956279e-02, 9.431338e-03, 7.474321e+03, 3.597072e+05
1.390000e+02, 1.953455e+01, 1.517377e+01, 1.728067e-03, 2.506881e-01, -1.736697e-02, 3.958470e-02, -1.892856e-01, 5.969577e+03, 2.696135e+05
1.400000e+02, 2.231782e+01, 1.379563e+01, 1.851433e-03, -8.012905e-02, -4.459250e-02, -5.508092e-02, 8.806737e-02, 5.593849e+03, 1.882319e+05
1.410000e+02, 2.420042e+01, 1.530821e+01, 1.361435e-03, -3.309949e-02, 1.124097e-01, 1.569054e-01, 7.105853e-02, 7.532095e+03, 3.164036e+05
1.420000e+02, 1.677961e+01, 1.692459e+01, 1.605737e-03, 1.738452e-01, 3.460648e-02, 9.750300e-02, 7.665719e-02, 6.399346e+03, 3.229374e+05
1.430000e+02, 2.240388e+01, 1.446921e+01, 1.778297e-03, -2.336006e-02, 1.585119e-01, -5.426890e-02, -2.258131e-03, 6.213995e+03, 2.645842e+05
1.440000e+02, 1.801416e+01, 1.418572e+01, 1.697893e-03, 1.125928e-01, -2.524673e-02, -1.035146e-02, -5.096352e-02, 4.798674e+03, 2.168639e+05
1.450000e+02, 2.288683e+01, 1.561251e+01, 1.490169e-03, -2.437432e-02, -1.227826e-01, -1.159384e-01, 6.366577e-02, 7.411089e+03, 3.265791e+05
1.460000e+02, 2.107997e+01, 1.567158e+01, 1.821253e-03, 1.014594e-01, 1.772055e-01, 6.521954e-02, 3.221428e-02, 6.911203e+03, 3.855662e+05
1.470000e+02, 2.321656e+01, 1.676565e+01, 1.421741e-03, 1.122084e-02, -7.269452e-02, -1.368706e-01, -6.938566e-02, 8.675602e+03, 3.585031e+05
1.480000e+02, 1.794670e+01, 1.566115e+01, 1.988694e-03, 1.660185e-01, -1.282053e-01, -1.307387e-01, 4.688075e-02, 5.852815e+03, 3.029576e+05
1.490000e+02, 1.736157e+01, 1.419927e+01, 1.945223e-03, 1.928245e-01, -1.330417e-01, 2.393092e-02, 1.114412e-01, 4.633523e+03, 2.156170e+05
1.500000e+02, 2.354449e+01, 1.437183e+01, 1.174991e-03, -1.074215e-02, -1.733279e-01, 1.335748e-01, 5.939652e-02, 6.453863e+03, 2.674810e+05
1.510000e+02, 2.357130e+01, 1.625039e+01, 1.224962e-03, -1.916793e-02, 2.013848e-01, -1.020354e-02, -7.263252e-02, 8.206289e+03, 2.723998e+05
1.520000e+02, 2.379417e+01, 1.533627e+01, 1.319876e-03, -1.141215e-01, -1.374455e-01, 1.628074e-02, 1.037555e-01, 7.443265e+03, 3.120110e+05
1.530000e+02, 2.351312e+01, 1.498055e+01, 1.146647e-03, 1.039418e-02, 3.335384e-02, 8.291057e-02, -7.537188e-02, 7.000293e+03, 2.701442e+05
1.540000e+02, 1.848216e+01, 1.563262e+01, 1.729753e-03, -2.327576e-01, 1.398677e-01, -1.631928e-01, -2.014005e-01, 6.005043e+03, 3.002257e+05
