,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
35,1000.41638798,948.832802557,446.629963635,414.775611762,425.173249214,450.709603,474.914289278,497.470123777,537.087083893,598.060243244,604.382695479,573.434086989,546.23173706,523.777559186,479.026765392,464.5235155,449.144634734,432.054135704,412.039408486,353.576345364,45.129632551
36,1000.78982771,878.396877373,330.854846662,380.976821064,392.652427487,420.784844964,447.164947812,471.634766831,514.265129055,573.569849986,575.068925202,558.510830522,536.448518422,518.979549203,489.04939753,481.193861954,473.913129882,467.015071875,460.340820145,447.10768745,425.387613207
37,1000.39777754,952.474008015,465.139674475,417.38249871,427.633849421,452.966880019,477.058137641,499.532319717,539.041004956,600.333675195,606.752321636,582.978052466,563.35510991,549.335542008,529.06524775,524.764044301,521.224530361,518.28214422,515.815250201,511.96230823,508.038007733
38,998.805312803,925.095469797,398.776288069,397.422826424,407.966397747,433.640409594,457.818675951,480.241351268,519.279652943,576.086024268,574.483845669,533.072211552,503.149715818,477.909828427,422.003203869,400.803646704,375.579295531,342.989476844,296.162224412,63.4875904525,0.0999998665621
39,1000.52532357,958.719397227,484.293323495,433.141594591,443.168240072,467.920827448,491.487800973,513.542660752,552.615726397,615.610824563,627.129461765,611.906444595,593.731702733,580.673063271,562.177079168,558.383066284,555.319678432,552.824925089,550.778854928,547.691787463,544.740512158
40,998.211497186,940.545213467,451.567396633,414.063816907,423.883633716,448.08037765,471.032872157,492.402834449,529.880198244,587.976871946,592.382777754,563.315818175,543.942490305,530.302775876,510.459853626,506.181599479,502.628059053,499.64410989,497.115271839,493.097903074,488.876141756
41,998.106294787,925.443829772,414.781629213,406.343189215,416.323678641,440.674928419,463.628428984,484.924157904,522.076436357,578.243430804,581.748849903,539.51234145,508.448867905,481.305659168,416.162116902,388.676130269,353.145968932,301.578344138,213.475771406,0.0999998197642,0.0999998197642
42,999.675382126,957.431316198,484.328015066,422.461140927,432.396599053,457.042732477,480.543802644,502.509007966,541.230317565,601.558033628,605.136842229,571.476632627,546.789049696,527.999388473,496.036798773,487.578897389,479.681722545,472.131164205,464.745513287,449.79927948,424.056518545
43,1000.00986454,967.556090224,537.911752223,438.157005307,447.709788505,471.749169924,494.810942254,516.371154783,554.263806625,612.808042794,617.547746013,577.841076313,551.082257167,530.860582268,496.676890505,487.664123994,479.254484378,471.214770274,463.34711836,447.396711171,419.747938653
44,999.725236999,938.345113497,414.357223066,409.694202403,420.318537832,446.202527459,470.657135307,493.455267806,533.594391488,594.90415977,598.888579052,568.675093754,540.960432814,518.239975598,473.752763161,459.663599033,444.946453872,428.887046552,410.502555134,359.51048646,135.201241355
45,1000.45492365,950.216561262,448.303391507,420.58798009,431.158549114,457.080486197,481.656369891,504.593898281,545.022855107,607.46982695,612.182982722,582.485279261,553.174163229,528.029032697,473.237222092,453.224082272,430.144070268,401.584985308,363.01435158,199.048515975,0.0999994128612
46,1000.62180247,929.685717019,413.097199313,406.712295288,417.260136479,443.01467946,467.289621414,489.779279564,528.783668313,584.40220687,581.880969069,534.601833244,500.683375776,470.845426822,396.301142199,362.688609429,316.593683297,243.485611727,102.949691516,0.0999999253096,0.0999999253096
